,Age,AvgTransactionAmount,TransactionFrequency,SpendingOnGroceries,SpendingOnEntertainment,SpendingOnTravel,IncomeInvested,RetirementSaving,HouseBuying,EmergencyFund,CreditScore,TotalIncome,Gender_F,Gender_M,Occupation_Clerk,Occupation_Doctor,Occupation_Engineer,Occupation_Lawyer,Occupation_Nurse,Occupation_Teacher,PreferredInvestmentType_Bonds,PreferredInvestmentType_Mutual Funds,PreferredInvestmentType_Real Estate,PreferredInvestmentType_Stocks,InvestmentDuration_Long-term,InvestmentDuration_Short-term,RiskTolerance_High,RiskTolerance_Low,RiskTolerance_Medium,Cluster
0,60,1057.622785,4,465.6221182,119.4714743,382.2067961,0.49023762,1,1,1,603,98920.60861,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,29,978.3053846,4,325.9448529,195.9717204,219.9218912,0.388194246,1,1,1,578,40002.13693,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2
2,30,257.1078853,15,319.9826297,166.4320889,176.698584,0.135798797,1,1,1,554,34292.91001,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
3,41,922.0257426,5,317.8435208,194.7796986,129.2941114,0.454100944,1,0,1,474,35894.57877,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
4,42,237.7608796,14,260.2481525,493.5219663,203.0992642,0.154299648,0,0,0,807,44157.97005,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2
5,34,250.8644825,16,280.3834004,78.73986554,248.5762114,0.24640463,1,0,1,570,26147.04393,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
6,65,995.1493261,1,609.3400209,230.2029338,413.0335076,0.430796912,1,0,1,712,92544.90062,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
7,34,1100.800861,4,242.1121807,303.1993244,156.8647006,0.518507101,1,1,0,631,37148.00605,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2
8,24,278.5470619,14,297.1723958,499.9675681,150.0949421,0.221926264,1,0,0,740,36055.68438,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
9,57,982.3215992,6,488.2087287,245.7519126,352.8737555,0.502388941,1,1,1,777,95075.01823,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
10,34,268.295463,16,274.116621,161.0110882,177.3792843,0.251590264,1,1,1,647,28038.70031,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
11,58,1040.850131,4,578.7032984,217.8837086,348.2979291,0.474298918,1,1,1,642,94523.95683,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
12,33,383.3478543,13,392.2973402,233.652946,240.1140915,0.194747562,1,1,1,605,37942.63817,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2
13,64,956.4033132,6,451.6583367,166.4864736,437.9080242,0.487681348,0,0,1,643,101279.2437,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
14,33,997.3504771,4,295.2244404,259.831126,188.4296461,0.279350437,1,0,1,436,38809.70791,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,2
15,35,253.4975807,16,265.5254167,557.3163668,174.6663175,0.109283934,0,0,0,754,38865.36196,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,2
16,53,992.5341412,5,547.8089194,264.180624,469.5296297,0.467331618,1,1,1,754,100456.9265,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
17,67,930.9127785,5,525.0945335,171.1901647,380.9727881,0.39884296,1,1,1,684,100273.1159,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
18,26,939.6426598,4,319.0375692,278.5210318,285.3114958,0.455104847,0,0,1,586,42610.74511,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2
19,38,997.5769694,7,302.0767084,179.3738385,267.7991152,0.343193921,0,0,0,510,51585.90842,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2
20,58,1088.861144,5,541.7716268,247.3865766,335.3099192,0.4807,0,1,1,813,103893.9106,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
21,36,284.4799227,16,264.691039,139.8151558,168.3118662,0.153891975,0,0,1,588,34071.85098,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
