,Age,Gender,IncomeInvested,InvestmentDuration,RiskTolerance,RetirementSaving,HouseBuying,EmergencyFund,CreditScore,TotalIncome,PreferredInvestmentType_Bonds,PreferredInvestmentType_Mutual Funds,PreferredInvestmentType_Real Estate,PreferredInvestmentType_Stocks,Invest_class
0,60,0,0.49023762,1,1.0,1,1,1,603,98920.60861,0,0,1,0,0
1,29,1,0.388194246,1,0.0,1,1,1,578,40002.13693,0,1,0,0,1
2,30,1,0.135798797,1,0.5,1,1,1,554,34292.91001,1,0,0,0,2
3,41,0,0.454100944,1,1.0,1,0,1,474,35894.57877,1,0,0,0,2
4,42,1,0.154299648,0,0.5,0,0,0,807,44157.97005,0,0,1,0,1
5,34,0,0.24640463,1,0.0,1,0,1,570,26147.04393,0,1,0,0,2
6,65,0,0.430796912,1,0.5,1,0,1,712,92544.90062,0,0,0,1,0
7,34,0,0.518507101,1,0.0,1,1,0,631,37148.00605,1,0,0,0,1
8,24,1,0.221926264,1,1.0,1,0,0,740,36055.68438,0,0,0,1,2
9,57,1,0.502388941,0,0.5,1,1,1,777,95075.01823,0,0,1,0,0
10,34,1,0.251590264,1,0.5,1,1,1,647,28038.70031,0,1,0,0,2
11,58,0,0.474298918,1,0.0,1,1,1,642,94523.95683,0,0,0,1,0
12,33,0,0.194747562,0,1.0,1,1,1,605,37942.63817,0,1,0,0,1
13,64,0,0.487681348,1,0.5,0,0,1,643,101279.2437,0,0,0,1,0
14,33,1,0.279350437,1,0.0,1,0,1,436,38809.70791,1,0,0,0,1
15,35,1,0.109283934,0,1.0,0,0,0,754,38865.36196,0,0,0,1,1
16,53,0,0.467331618,1,0.5,1,1,1,754,100456.9265,0,0,0,1,0
17,67,0,0.39884296,1,0.5,1,1,1,684,100273.1159,0,0,0,1,0
18,26,1,0.455104847,1,0.0,0,0,1,586,42610.74511,1,0,0,0,1
19,38,0,0.343193921,1,0.5,0,0,0,510,51585.90842,0,1,0,0,1
20,58,1,0.4807,1,1.0,0,1,1,813,103893.9106,0,0,1,0,0
21,36,1,0.153891975,1,0.0,0,0,1,588,34071.85098,0,1,0,0,2
22,34,0,0.413658464,1,0.5,1,0,1,550,34932.10687,0,1,0,0,2
23,23,0,0.21621629,1,0.5,1,1,0,637,31741.31476,1,0,0,0,2
24,42,0,0.421529388,0,0.0,0,0,0,570,27660.25198,0,1,0,0,2
25,34,0,0.200285496,0,1.0,1,1,1,632,32038.93596,1,0,0,0,2
26,36,0,0.507741917,1,1.0,0,0,0,577,46677.42231,0,1,0,0,1
27,33,1,0.1671589,1,1.0,1,1,1,510,34018.53173,0,1,0,0,2
28,27,0,0.182866609,1,1.0,1,1,1,543,28492.70507,1,0,0,0,2
29,64,1,0.536108771,1,0.5,1,1,1,855,97605.43727,0,0,1,0,0
30,28,1,0.255599316,1,0.0,1,0,0,589,22723.30622,0,1,0,0,2
31,38,0,0.388647936,1,0.0,0,1,1,500,34317.3652,1,0,0,0,2
32,35,0,0.35643688,1,1.0,0,1,1,503,37008.27061,0,1,0,0,1
33,56,1,0.515357686,1,0.5,1,0,1,675,109482.262,0,0,1,0,0
34,31,1,0.197068741,1,0.5,1,1,1,631,31229.99819,1,0,0,0,2
35,37,1,0.472608832,1,0.5,1,1,1,526,35920.51426,1,0,0,0,2
36,54,1,0.403387804,1,0.5,0,1,1,698,109450.7989,0,0,1,0,0
37,40,1,0.166354907,0,0.5,0,0,1,764,43219.3181,0,0,0,1,1
38,32,0,0.327507819,1,0.0,1,1,0,509,37055.29612,0,1,0,0,1
39,38,1,0.250523385,1,0.0,1,1,0,629,27134.13498,1,0,0,0,2
40,38,1,0.191980031,1,1.0,1,1,1,593,29820.47533,0,1,0,0,2
41,30,1,0.148642111,0,0.5,0,1,0,792,39387.81061,0,0,1,0,1
42,35,0,0.227204999,0,1.0,0,0,1,749,40958.26549,0,0,1,0,1
43,62,1,0.555767744,1,0.5,0,1,1,680,93062.81631,0,0,0,1,0
44,39,0,0.481157122,1,0.0,1,1,1,467,39648.12252,0,1,0,0,1
45,31,1,0.400686038,1,0.0,0,0,0,547,37132.7418,0,1,0,0,1
46,34,0,0.23597313,0,1.0,0,0,0,769,36235.27463,0,0,1,0,1
47,41,1,0.475740058,1,0.0,0,0,1,544,31558.70096,0,1,0,0,2
48,28,0,0.401738843,1,0.5,1,0,1,564,44614.48513,1,0,0,0,1
49,30,0,0.454783245,1,0.5,1,0,1,565,51566.63924,1,0,0,0,1
50,34,1,0.166195663,0,1.0,0,1,1,843,38145.74685,0,0,0,1,1
51,59,1,0.530339614,1,0.0,0,0,1,741,94412.17633,0,0,1,0,0
52,28,1,0.205649818,1,0.0,0,1,1,580,24221.88418,1,0,0,0,2
53,36,0,0.224062006,0,1.0,0,0,0,750,29967.86469,0,0,1,0,2
54,19,0,0.176685764,1,0.5,1,0,1,591,31644.12198,1,0,0,0,2
55,31,0,0.176443622,0,0.5,1,1,1,617,34729.46894,1,0,0,0,2
56,54,0,0.476175192,1,0.5,0,1,1,674,98881.83819,0,0,0,1,0
57,40,0,0.422606519,1,0.0,1,1,1,573,46339.99772,0,1,0,0,1
58,40,0,0.418505317,1,0.5,1,0,1,572,35631.17214,1,0,0,0,2
59,37,1,0.175850607,0,0.0,1,1,1,749,41882.11372,0,0,0,1,1
60,41,0,0.163880794,0,1.0,0,0,0,748,35964.29538,0,0,0,1,2
61,32,0,0.169545915,0,0.5,0,0,1,738,38117.62082,0,0,1,0,1
62,34,0,0.493717374,1,0.0,0,0,1,495,36073.94039,1,0,0,0,2
63,27,1,0.271699893,1,0.0,1,0,1,599,30054.77392,0,1,0,0,2
64,34,1,0.380841404,1,0.0,1,1,1,470,38610.97974,0,1,0,0,1
65,26,0,0.186967441,1,1.0,0,1,0,675,30375.55171,0,0,0,1,2
66,32,0,0.228132355,1,0.0,1,0,0,656,32609.50316,0,1,0,0,2
67,26,1,0.193779797,1,0.0,1,1,1,588,34619.15862,1,0,0,0,2
68,31,1,0.163132276,1,0.5,1,1,1,665,34065.45508,0,1,0,0,2
69,36,1,0.329165968,1,0.0,1,0,1,521,38301.86142,1,0,0,0,1
70,56,0,0.538675364,1,0.5,1,1,1,661,101583.9497,0,0,0,1,0
71,65,1,0.507017301,0,0.5,1,1,1,631,101771.9921,0,0,1,0,0
72,29,1,0.327251041,0,1.0,1,1,1,560,36154.23771,0,1,0,0,2
73,35,0,0.391238506,1,0.0,1,1,1,550,40260.35676,0,1,0,0,1
74,60,0,0.534595912,0,0.5,0,1,0,709,103233.5633,0,0,1,0,0
75,37,0,0.39784577,0,1.0,1,0,1,571,34012.45816,1,0,0,0,2
76,32,1,0.328505091,0,0.5,1,0,1,518,39801.3792,1,0,0,0,1
77,61,1,0.503450023,1,0.0,0,1,0,644,98604.9876,0,0,1,0,0
78,62,0,0.527484108,0,0.5,1,1,1,690,96935.34637,0,0,1,0,0
79,65,0,0.49415082,1,1.0,1,1,1,735,104474.6342,0,0,1,0,0
80,35,1,0.134597312,1,0.0,1,1,0,726,30824.33729,0,1,0,0,2
81,41,0,0.457193779,1,1.0,1,1,1,522,43485.49598,1,0,0,0,1
82,28,1,0.442544605,0,0.0,0,1,1,539,35726.96388,0,1,0,0,2
83,38,1,0.443402236,0,0.0,0,1,0,532,48801.11128,0,1,0,0,1
84,32,1,0.29973194,1,0.5,1,0,1,560,35866.67981,0,1,0,0,2
85,29,0,0.458840525,1,0.5,0,1,0,554,44006.37446,0,1,0,0,1
86,32,0,0.358450504,0,0.0,1,0,1,506,43071.10767,0,1,0,0,1
87,41,0,0.412777531,1,0.0,1,0,1,489,35823.19986,0,1,0,0,2
88,31,1,0.151669847,1,0.0,1,0,0,621,24982.80126,0,1,0,0,2
89,36,0,0.190538676,0,1.0,0,1,0,791,40456.558,0,0,1,0,1
90,27,0,0.212427083,1,0.5,1,1,1,632,30207.76096,1,0,0,0,2
91,24,0,0.179778315,1,0.0,0,1,1,560,38688.40359,1,0,0,0,1
92,26,1,0.433733249,1,1.0,1,0,1,535,39404.19288,0,1,0,0,1
93,30,0,0.094893692,0,1.0,0,0,0,875,40330.621,0,0,1,0,1
94,53,0,0.470085327,1,0.0,1,1,1,712,100091.6639,0,0,1,0,0
95,28,0,0.240185492,0,0.5,0,1,0,865,42686.21167,0,0,1,0,1
96,61,0,0.466272625,1,0.0,1,1,1,764,105768.5702,0,0,0,1,0
97,42,0,0.297171665,0,1.0,0,1,1,704,40904.96151,0,0,1,0,1
98,30,1,0.237263311,0,0.5,0,1,0,727,41927.05217,0,0,1,0,1
99,34,0,0.249623583,0,1.0,1,0,0,700,42922.53017,0,0,1,0,1
