,CustomerID,Age,Gender,Occupation,AvgTransactionAmount,TransactionFrequency,SpendingOnGroceries,SpendingOnEntertainment,SpendingOnTravel,PreferredInvestmentType,IncomeInvested,InvestmentDuration,RiskTolerance,RetirementSaving,HouseBuying,EmergencyFund,CreditScore,TotalIncome,Invest_class,Spend_class
0,611,60,M,Doctor,1057.622785,4,465.6221182,119.4714743,382.2067961,Real Estate,0.49023762,Long-term,High,True,True,True,603,98920.60861,0,1
1,3838,29,F,Teacher,978.3053846,4,325.9448529,195.9717204,219.9218912,Mutual Funds,0.388194246,Long-term,Low,True,True,True,578,40002.13693,1,0
2,1930,30,F,Clerk,257.1078853,15,319.9826297,166.4320889,176.698584,Bonds,0.135798797,Long-term,Medium,True,True,True,554,34292.91001,2,2
3,3741,41,M,Clerk,922.0257426,5,317.8435208,194.7796986,129.2941114,Bonds,0.454100944,Long-term,High,True,False,True,474,35894.57877,2,2
4,2833,42,F,Teacher,237.7608796,14,260.2481525,493.5219663,203.0992642,Real Estate,0.154299648,Short-term,Medium,False,False,False,807,44157.97005,1,0
5,1030,34,M,Nurse,250.8644825,16,280.3834004,78.73986554,248.5762114,Mutual Funds,0.24640463,Long-term,Low,True,False,True,570,26147.04393,2,2
6,570,65,M,Lawyer,995.1493261,1,609.3400209,230.2029338,413.0335076,Stocks,0.430796912,Long-term,Medium,True,False,True,712,92544.90062,0,1
7,3130,34,M,Clerk,1100.800861,4,242.1121807,303.1993244,156.8647006,Bonds,0.518507101,Long-term,Low,True,True,False,631,37148.00605,1,0
8,2554,24,F,Teacher,278.5470619,14,297.1723958,499.9675681,150.0949421,Stocks,0.221926264,Long-term,High,True,False,False,740,36055.68438,2,2
9,370,57,F,Engineer,982.3215992,6,488.2087287,245.7519126,352.8737555,Real Estate,0.502388941,Short-term,Medium,True,True,True,777,95075.01823,0,1
10,1799,34,F,Teacher,268.295463,16,274.116621,161.0110882,177.3792843,Mutual Funds,0.251590264,Long-term,Medium,True,True,True,647,28038.70031,2,2
11,456,58,M,Lawyer,1040.850131,4,578.7032984,217.8837086,348.2979291,Stocks,0.474298918,Long-term,Low,True,True,True,642,94523.95683,0,1
12,1069,33,M,Teacher,383.3478543,13,392.2973402,233.652946,240.1140915,Mutual Funds,0.194747562,Short-term,High,True,True,True,605,37942.63817,1,0
13,289,64,M,Engineer,956.4033132,6,451.6583367,166.4864736,437.9080242,Stocks,0.487681348,Long-term,Medium,False,False,True,643,101279.2437,0,1
14,3543,33,F,Teacher,997.3504771,4,295.2244404,259.831126,188.4296461,Bonds,0.279350437,Long-term,Low,True,False,True,436,38809.70791,1,0
15,2531,35,F,Nurse,253.4975807,16,265.5254167,557.3163668,174.6663175,Stocks,0.109283934,Short-term,High,False,False,False,754,38865.36196,1,0
16,604,53,M,Lawyer,992.5341412,5,547.8089194,264.180624,469.5296297,Stocks,0.467331618,Long-term,Medium,True,True,True,754,100456.9265,0,1
17,191,67,M,Lawyer,930.9127785,5,525.0945335,171.1901647,380.9727881,Stocks,0.39884296,Long-term,Medium,True,True,True,684,100273.1159,0,1
18,3251,26,F,Clerk,939.6426598,4,319.0375692,278.5210318,285.3114958,Bonds,0.455104847,Long-term,Low,False,False,True,586,42610.74511,1,0
19,3279,38,M,Clerk,997.5769694,7,302.0767084,179.3738385,267.7991152,Mutual Funds,0.343193921,Long-term,Medium,False,False,False,510,51585.90842,1,0
20,219,58,F,Doctor,1088.861144,5,541.7716268,247.3865766,335.3099192,Real Estate,0.4807,Long-term,High,False,True,True,813,103893.9106,0,1
21,1013,36,F,Teacher,284.4799227,16,264.691039,139.8151558,168.3118662,Mutual Funds,0.153891975,Long-term,Low,False,False,True,588,34071.85098,2,2
22,3935,34,M,Teacher,951.1804866,4,371.1608403,211.3949599,207.2950795,Mutual Funds,0.413658464,Long-term,Medium,True,False,True,550,34932.10687,2,2
23,1331,23,M,Clerk,298.0172938,13,280.0595613,204.4041589,227.2681377,Bonds,0.21621629,Long-term,Medium,True,True,False,637,31741.31476,2,2
24,3871,42,M,Teacher,1018.906287,3,268.9690011,121.9088463,230.4347692,Mutual Funds,0.421529388,Short-term,Low,False,False,False,570,27660.25198,2,2
25,1959,34,M,Teacher,338.3223868,13,220.1939462,212.3855976,194.730737,Bonds,0.200285496,Short-term,High,True,True,True,632,32038.93596,2,2
26,3840,36,M,Nurse,1110.268885,4,379.1283596,223.0585717,193.2056648,Mutual Funds,0.507741917,Long-term,High,False,False,False,577,46677.42231,1,0
27,1548,33,F,Clerk,281.5305126,12,375.9782612,222.9147988,239.9674972,Mutual Funds,0.1671589,Long-term,High,True,True,True,510,34018.53173,2,2
28,1509,27,M,Nurse,327.6135076,12,326.6638969,98.59226674,173.3040265,Bonds,0.182866609,Long-term,High,True,True,True,543,28492.70507,2,2
29,59,64,F,Engineer,1074.376656,6,491.5848903,200.6533898,377.7085434,Real Estate,0.536108771,Long-term,Medium,True,True,True,855,97605.43727,0,1
30,1164,28,F,Teacher,294.7911452,17,288.8749994,99.15540794,206.136105,Mutual Funds,0.255599316,Long-term,Low,True,False,False,589,22723.30622,2,2
31,3383,38,M,Teacher,1063.056277,6,174.080055,145.9291961,258.5853682,Bonds,0.388647936,Long-term,Low,False,True,True,500,34317.3652,2,2
32,3934,35,M,Nurse,993.1944047,5,344.8448017,256.2660135,148.5306382,Mutual Funds,0.35643688,Long-term,High,False,True,True,503,37008.27061,1,0
33,563,56,F,Lawyer,960.4360678,4,526.0640572,149.089077,364.1382189,Real Estate,0.515357686,Long-term,Medium,True,False,True,675,109482.262,0,1
34,1157,31,F,Teacher,312.9552577,12,286.6639882,173.4452905,120.9951788,Bonds,0.197068741,Long-term,Medium,True,True,True,631,31229.99819,2,2
35,3469,37,F,Clerk,967.5074969,4,371.7280942,166.6679364,285.9114983,Bonds,0.472608832,Long-term,Medium,True,True,True,526,35920.51426,2,2
36,77,54,F,Lawyer,1086.399476,5,514.0282616,129.2574705,455.8805521,Real Estate,0.403387804,Long-term,Medium,False,True,True,698,109450.7989,0,1
37,2551,40,F,Clerk,273.4041629,13,235.8454545,509.5985655,239.5139102,Stocks,0.166354907,Short-term,Medium,False,False,True,764,43219.3181,1,0
38,3761,32,M,Clerk,1035.824759,6,290.6280444,126.8289831,262.3166267,Mutual Funds,0.327507819,Long-term,Low,True,True,False,509,37055.29612,1,0
39,1063,38,F,Teacher,381.8670026,19,324.0768647,228.8340088,309.0798256,Bonds,0.250523385,Long-term,Low,True,True,False,629,27134.13498,2,2
40,1571,38,F,Clerk,306.5455854,10,309.5897502,245.8239709,218.8151452,Mutual Funds,0.191980031,Long-term,High,True,True,True,593,29820.47533,2,2
41,2532,30,F,Teacher,340.2226687,10,334.1258312,465.8240107,259.4095426,Real Estate,0.148642111,Short-term,Medium,False,True,False,792,39387.81061,1,0
42,2438,35,M,Clerk,330.2746863,14,291.6078614,413.7896028,190.3497726,Real Estate,0.227204999,Short-term,High,False,False,True,749,40958.26549,1,0
43,460,62,F,Engineer,949.4015336,2,504.6511491,274.7451358,341.5075486,Stocks,0.555767744,Long-term,Medium,False,True,True,680,93062.81631,0,1
44,3340,39,M,Clerk,1041.887772,5,320.6338189,210.9606123,254.7720404,Mutual Funds,0.481157122,Long-term,Low,True,True,True,467,39648.12252,1,0
45,3725,31,F,Teacher,1080.212796,8,270.2209986,217.9531167,262.4660747,Mutual Funds,0.400686038,Long-term,Low,False,False,False,547,37132.7418,1,0
46,2821,34,M,Clerk,347.7615266,15,195.5744237,522.4510493,295.8290132,Real Estate,0.23597313,Short-term,High,False,False,False,769,36235.27463,1,0
47,3637,41,F,Nurse,1023.856881,5,203.9916649,235.1175287,258.1187813,Mutual Funds,0.475740058,Long-term,Low,False,False,True,544,31558.70096,2,2
48,3507,28,M,Nurse,967.7736823,6,357.4329568,221.354252,265.1520176,Bonds,0.401738843,Long-term,Medium,True,False,True,564,44614.48513,1,0
49,3745,30,M,Teacher,1152.384218,5,238.2926117,237.5502742,207.4336407,Bonds,0.454783245,Long-term,Medium,True,False,True,565,51566.63924,1,0
50,2445,34,F,Clerk,293.0347465,14,280.5737755,424.9808397,186.7181507,Stocks,0.166195663,Short-term,High,False,True,True,843,38145.74685,1,0
