,Age,Gender,AvgTransactionAmount,TransactionFrequency,SpendingOnGroceries,SpendingOnEntertainment,SpendingOnTravel,TotalIncome,Occupation_Clerk,Occupation_Doctor,Occupation_Engineer,Occupation_Lawyer,Occupation_Nurse,Occupation_Teacher,CreditScore,Spend_class
0,60,0,1057.622785,4,465.6221182,119.4714743,382.2067961,98920.60861,0,1,0,0,0,0,603,1
1,29,1,978.3053846,4,325.9448529,195.9717204,219.9218912,40002.13693,0,0,0,0,0,1,578,0
2,30,1,257.1078853,15,319.9826297,166.4320889,176.698584,34292.91001,1,0,0,0,0,0,554,2
3,41,0,922.0257426,5,317.8435208,194.7796986,129.2941114,35894.57877,1,0,0,0,0,0,474,2
4,42,1,237.7608796,14,260.2481525,493.5219663,203.0992642,44157.97005,0,0,0,0,0,1,807,0
5,34,0,250.8644825,16,280.3834004,78.73986554,248.5762114,26147.04393,0,0,0,0,1,0,570,2
6,65,0,995.1493261,1,609.3400209,230.2029338,413.0335076,92544.90062,0,0,0,1,0,0,712,1
7,34,0,1100.800861,4,242.1121807,303.1993244,156.8647006,37148.00605,1,0,0,0,0,0,631,0
8,24,1,278.5470619,14,297.1723958,499.9675681,150.0949421,36055.68438,0,0,0,0,0,1,740,2
9,57,1,982.3215992,6,488.2087287,245.7519126,352.8737555,95075.01823,0,0,1,0,0,0,777,1
10,34,1,268.295463,16,274.116621,161.0110882,177.3792843,28038.70031,0,0,0,0,0,1,647,2
11,58,0,1040.850131,4,578.7032984,217.8837086,348.2979291,94523.95683,0,0,0,1,0,0,642,1
12,33,0,383.3478543,13,392.2973402,233.652946,240.1140915,37942.63817,0,0,0,0,0,1,605,0
13,64,0,956.4033132,6,451.6583367,166.4864736,437.9080242,101279.2437,0,0,1,0,0,0,643,1
14,33,1,997.3504771,4,295.2244404,259.831126,188.4296461,38809.70791,0,0,0,0,0,1,436,0
15,35,1,253.4975807,16,265.5254167,557.3163668,174.6663175,38865.36196,0,0,0,0,1,0,754,0
16,53,0,992.5341412,5,547.8089194,264.180624,469.5296297,100456.9265,0,0,0,1,0,0,754,1
17,67,0,930.9127785,5,525.0945335,171.1901647,380.9727881,100273.1159,0,0,0,1,0,0,684,1
18,26,1,939.6426598,4,319.0375692,278.5210318,285.3114958,42610.74511,1,0,0,0,0,0,586,0
19,38,0,997.5769694,7,302.0767084,179.3738385,267.7991152,51585.90842,1,0,0,0,0,0,510,0
20,58,1,1088.861144,5,541.7716268,247.3865766,335.3099192,103893.9106,0,1,0,0,0,0,813,1
